"alpha_hat","beta_1_hat","beta_2_hat","alpha_se","beta_1_se","beta_2_se","method","n_obs","p_c","alpha","beta_1","beta_2","model","index"
1.13709112009041,0.299610074897885,-0.41912586899575,0.199852276946278,0.0897027225122904,0.107218791333569,"pp",200,0.8,1,0.5,-0.7,"logit",17
0.871397578575342,0.416907772830311,-0.714748166548436,0.282772154453436,0.149874145685561,0.25302939118913,"iv",200,0.8,1,0.5,-0.7,"logit",17
0.597670709526998,0.314499463835108,-0.293117061332325,0.176712324759715,0.0945658752607793,0.0824477761297478,"itt",200,0.8,1,0.5,-0.7,"logit",18
1.30068286234436,0.383400974031605,-0.390550427350616,0.203915069989023,0.102680390305623,0.091654340700242,"pp",200,0.8,1,0.5,-0.7,"logit",18
0.978928383502734,0.441375489983897,-0.424806505021459,0.250783028918438,0.153924906713657,0.122401477143341,"iv",200,0.8,1,0.5,-0.7,"logit",18
0.379933617712926,0.280716601280306,-0.427634409709776,0.176004237499417,0.0861738784491692,0.108583434335104,"itt",200,0.8,1,0.5,-0.7,"logit",19
1.11465356912406,0.436263269311877,-0.714745959324119,0.211978750909079,0.101532908210025,0.115394319462406,"pp",200,0.8,1,0.5,-0.7,"logit",19
0.759042872272409,0.790136435830256,-1.32636423695972,0.34117816233854,0.315174588308868,0.549777466794311,"iv",200,0.8,1,0.5,-0.7,"logit",19
0.683399836402233,0.347389125626143,-0.542420478234603,0.181725665273719,0.0908850532691174,0.0808280356035577,"itt",200,0.8,1,0.5,-0.7,"logit",20
0.915157892302533,0.433863170789489,-0.575840120803255,0.198879438511561,0.0998704423618153,0.0828863067834403,"pp",200,0.8,1,0.5,-0.7,"logit",20
0.952712550289818,0.537682742457616,-0.65013038546168,0.270072204233652,0.159048043119974,0.132582314575863,"iv",200,0.8,1,0.5,-0.7,"logit",20
0.75291024141521,0.351162385602007,-0.762555183398841,0.176458341401924,0.0947788555014688,0.0940398832745039,"itt",200,0.8,1,0.5,-0.7,"logit",21
1.05245241790401,0.406458808755531,-0.779100598049367,0.187143955376866,0.103589294163196,0.101249684346969,"pp",200,0.8,1,0.5,-0.7,"logit",21
0.897153714607444,0.422642832973927,-0.743782292855019,0.204091855909018,0.111900105083399,0.105552656338882,"iv",200,0.8,1,0.5,-0.7,"logit",21
0.607831734926495,0.271987401491405,-0.418463364477931,0.177293829853246,0.089474820126711,0.0971042212544253,"itt",200,0.8,1,0.5,-0.7,"logit",22
